product_id,category,subcategory,brand,package_size,mrp,selling_price,margin_percentage,organic_flag,premium_flag,rating,popularity_index,festival_relevance
PROD00032,Frozen Foods,Fries,FreshNest,250g,82,67.54,27.38,1,1,3.7,6.81,5.86
PROD00033,Health & Wellness,Granola,PureHarvest,500g,189,154.55,14.74,0,1,4.5,1.85,6.84
PROD00034,Beverages,Cold Coffee,HomeEase,500g,458,389.84,28.85,0,1,3.6,7.41,8.24
PROD00035,Personal Care,Soap,FitBite,500g,480,447.27,31.96,0,1,3.1,8.2,6.24
PROD00036,Dairy,Milk,HomeEase,750ml,696,600.66,10.33,1,1,3.5,7.37,9.84
PROD00037,Health & Wellness,Protein Powder,FitBite,500g,628,520.57,34.53,1,1,4.2,6.23,8.46
PROD00038,Beverages,Juice,FitBite,1L,668,555.3,12.74,1,0,4.7,1.17,9.39
PROD00039,Beverages,Soft Drink,NutriMile,1L,342,322.26,19.19,1,0,4.7,5.02,9.23
PROD00040,Dairy,Butter,FreshNest,1kg,263,246.58,32.55,1,0,3.8,9.05,8.01
PROD00041,Beverages,Soft Drink,DailyDrop,750ml,629,499.7,5.49,1,0,4.1,5.57,4.68
PROD00042,Instant Meals,Pasta,SpiceRoute,1L,384,327.27,7.9,1,1,5.0,9.18,8.46
PROD00043,Instant Meals,Ready Meals,SpiceRoute,500g,546,515.21,13.21,1,1,5.0,4.53,1.63
PROD00044,Snacks,Cookies,HomeEase,500g,367,344.77,29.51,1,0,4.8,3.75,3.63
PROD00045,Health & Wellness,Oats,FreshNest,1kg,424,410.82,16.39,1,0,4.8,4.5,7.72
PROD00046,Instant Meals,Ready Meals,DailyDrop,1kg,557,516.68,34.22,0,1,4.0,9.84,2.68
PROD00047,Dairy,Milk,PureHarvest,750ml,755,739.78,26.53,0,0,3.6,3.9,5.68
PROD00048,Beverages,Juice,PureHarvest,250g,230,189.9,16.14,1,1,3.2,3.81,7.66
PROD00049,Personal Care,Shampoo,UrbanCrunch,500g,777,723.03,26.13,1,0,4.1,5.85,7.91
PROD00050,Health & Wellness,Oats,DailyDrop,250g,509,441.84,34.61,1,1,3.5,4.01,9.73
PROD00051,Beverages,Cold Coffee,ChillSip,750ml,517,428.8,30.95,0,1,5.0,9.42,8.28
PROD00052,Personal Care,Soap,DailyDrop,1L,548,535.33,23.25,1,1,4.5,9.0,1.31
PROD00053,Personal Care,Shampoo,DailyDrop,750ml,751,645.63,33.99,0,0,4.7,4.99,6.51
PROD00054,Instant Meals,Ready Meals,NutriMile,1L,184,145.96,22.84,1,1,4.0,4.24,9.27
PROD00055,Dairy,Butter,FitBite,250g,678,634.79,5.89,0,1,3.8,7.37,4.29
PROD00056,Instant Meals,Ready Meals,HomeEase,1kg,224,187.18,5.47,0,0,3.6,2.86,8.16
PROD00057,Health & Wellness,Oats,HomeEase,500g,259,201.35,29.34,0,1,3.2,2.71,1.97
PROD00058,Beverages,Energy Drink,ChillSip,1L,345,276.85,5.82,0,0,4.2,5.87,2.78
PROD00059,Personal Care,Face Wash,SpiceRoute,500g,306,253.9,19.06,1,0,4.4,2.73,5.74
PROD00060,Snacks,Namkeen,QuickChef,1L,317,289.76,20.18,0,1,3.1,8.65,7.71
PROD00061,Health & Wellness,Protein Powder,QuickChef,750ml,79,70.3,6.34,0,1,4.9,3.69,4.24
PROD00062,Frozen Foods,Frozen Pizza,HomeEase,1L,722,605.64,32.25,1,1,3.0,7.62,2.14
PROD00063,Instant Meals,Pasta,NutriMile,500g,199,185.51,21.21,0,1,4.8,3.35,7.61
PROD00064,Personal Care,Shampoo,QuickChef,1kg,351,297.89,5.5,1,0,4.6,1.69,1.6
PROD00065,Instant Meals,Pasta,FitBite,500g,672,571.5,11.97,0,0,4.0,6.03,5.08
PROD00066,Personal Care,Face Wash,FitBite,1kg,765,717.73,8.59,1,1,3.2,9.27,3.54
PROD00067,Snacks,Namkeen,QuickChef,1L,683,531.02,21.76,0,0,3.3,7.8,2.05
PROD00068,Snacks,Cookies,SpiceRoute,750ml,371,309.57,25.62,1,0,3.1,5.68,5.28
PROD00069,Health & Wellness,Protein Powder,SpiceRoute,1kg,70,61.97,25.19,1,0,4.3,6.43,6.55
PROD00070,Personal Care,Soap,SpiceRoute,1kg,492,473.54,27.56,0,0,4.2,3.87,1.26
PROD00071,Frozen Foods,Fries,QuickChef,500g,503,425.18,23.26,0,1,4.4,8.7,7.6
PROD00072,Personal Care,Face Wash,NutriMile,1kg,179,144.48,28.23,0,0,3.5,8.44,9.98
PROD00073,Beverages,Juice,HomeEase,250g,289,271.5,13.99,0,1,3.4,9.97,9.02
PROD00074,Dairy,Curd,SpiceRoute,1L,473,372.85,20.06,1,0,3.1,1.27,6.41
PROD00075,Personal Care,Shampoo,HomeEase,1L,86,83.63,24.44,1,1,4.0,7.11,8.26
PROD00076,Health & Wellness,Granola,ChillSip,250g,778,609.45,10.82,0,1,3.5,5.87,2.48
PROD00077,Beverages,Cold Coffee,QuickChef,1L,66,58.6,9.16,1,0,3.1,7.17,7.41
PROD00078,Snacks,Namkeen,PureHarvest,500g,176,162.05,14.91,1,1,3.4,9.54,5.3
PROD00079,Snacks,Chips,PureHarvest,1kg,467,429.56,20.81,1,1,4.2,7.47,9.14
PROD00080,Frozen Foods,Frozen Pizza,PureHarvest,250g,639,521.79,7.99,1,0,5.0,6.55,8.51
PROD00081,Health & Wellness,Granola,HomeEase,250g,451,426.03,22.78,1,0,3.9,5.08,3.94
PROD00082,Instant Meals,Noodles,NutriMile,500g,382,296.12,29.51,1,1,4.8,9.34,2.53
PROD00083,Personal Care,Face Wash,HomeEase,500g,294,263.79,13.93,1,0,3.2,1.84,8.5
PROD00084,Frozen Foods,Fries,QuickChef,500g,680,560.3,21.69,1,1,3.3,8.34,2.21
PROD00085,Personal Care,Face Wash,ChillSip,500g,304,247.11,26.83,0,1,3.6,3.39,5.86
PROD00086,Snacks,Cookies,FreshNest,250g,282,245.07,14.86,0,1,4.6,7.79,1.91
PROD00087,Snacks,Protein Snacks,NutriMile,500g,220,166.19,19.2,0,1,4.1,8.9,1.4
PROD00088,Health & Wellness,Granola,FreshNest,1L,748,606.42,6.6,0,0,4.4,6.42,9.35
PROD00089,Health & Wellness,Granola,PureHarvest,750ml,466,435.97,33.46,0,1,4.4,7.84,5.43
PROD00090,Snacks,Cookies,DailyDrop,500g,761,625.65,7.2,0,1,4.4,2.2,8.55
PROD00091,Frozen Foods,Frozen Pizza,UrbanCrunch,1kg,787,609.37,13.27,1,1,4.5,3.9,9.89
PROD00092,Dairy,Paneer,UrbanCrunch,1L,700,648.05,9.56,0,0,3.1,8.25,4.53
PROD00093,Instant Meals,Noodles,QuickChef,500g,517,443.54,10.28,0,1,3.1,4.02,9.87
PROD00094,Snacks,Chips,QuickChef,1kg,467,416.08,29.27,0,1,3.7,6.35,8.88
PROD00095,Beverages,Energy Drink,FreshNest,250g,146,137.07,15.88,1,0,4.9,2.92,4.92
PROD00096,Personal Care,Face Wash,NutriMile,250g,178,139.04,29.78,1,0,4.7,4.2,2.8
PROD00097,Snacks,Chips,DailyDrop,1kg,704,661.12,34.02,0,0,3.3,5.3,6.02
PROD00098,Personal Care,Soap,HomeEase,750ml,451,359.26,25.1,0,1,3.1,7.08,6.51
PROD00099,Health & Wellness,Oats,DailyDrop,750ml,657,575.41,7.37,0,0,3.9,7.73,1.49
PROD00100,Snacks,Chips,SpiceRoute,1kg,313,244.59,6.06,0,0,3.5,6.54,4.97
PROD00101,Personal Care,Soap,QuickChef,500g,257,213.83,6.01,1,1,4.0,3.64,4.17
PROD00102,Frozen Foods,Fries,ChillSip,1kg,178,145.98,27.55,1,0,4.2,5.27,8.4
PROD00103,Health & Wellness,Protein Powder,DailyDrop,1L,769,676.45,15.9,1,1,5.0,9.22,7.1
PROD00104,Snacks,Namkeen,NutriMile,1L,743,706.26,26.63,1,1,4.4,7.36,8.73
PROD00105,Frozen Foods,Ice Cream,UrbanCrunch,250g,339,304.49,14.29,1,1,4.7,3.78,4.63
PROD00106,Instant Meals,Pasta,UrbanCrunch,1kg,226,220.95,24.25,1,0,4.5,8.75,5.62
PROD00107,Snacks,Protein Snacks,HomeEase,250g,666,637.3,20.81,0,1,4.2,4.61,5.59
PROD00108,Health & Wellness,Protein Powder,QuickChef,250g,774,723.47,15.25,1,1,3.9,3.84,4.59
PROD00109,Personal Care,Shampoo,NutriMile,250g,716,690.89,18.24,0,0,3.2,4.97,6.99
PROD00110,Dairy,Curd,FreshNest,250g,789,647.23,17.25,0,0,3.4,8.14,2.66
PROD00111,Beverages,Soft Drink,FitBite,250g,754,676.23,21.8,1,0,3.1,7.36,5.08
PROD00112,Personal Care,Soap,ChillSip,750ml,526,468.6,24.79,0,0,3.5,3.32,7.61
PROD00113,Personal Care,Shampoo,UrbanCrunch,1kg,230,218.4,19.77,0,0,4.4,5.32,2.86
PROD00114,Instant Meals,Pasta,SpiceRoute,250g,183,156.41,7.1,1,0,3.5,5.84,6.53
PROD00115,Dairy,Butter,PureHarvest,1L,40,34.75,21.49,0,0,3.1,6.11,3.52
PROD00116,Snacks,Protein Snacks,FitBite,500g,510,469.93,11.03,0,0,4.6,8.6,8.25
PROD00117,Dairy,Curd,NutriMile,750ml,135,114.81,10.57,1,0,5.0,8.46,6.48
PROD00118,Personal Care,Soap,ChillSip,250g,799,715.48,17.9,1,1,3.0,5.11,8.94
PROD00119,Snacks,Chips,NutriMile,500g,180,146.12,16.02,1,0,4.3,3.66,7.34
PROD00120,Personal Care,Face Wash,UrbanCrunch,1L,650,601.79,33.53,1,1,3.6,4.16,6.81
PROD00121,Dairy,Curd,FitBite,500g,697,541.98,10.71,1,0,4.5,2.54,7.66
PROD00122,Health & Wellness,Granola,PureHarvest,1L,737,697.33,33.41,1,0,3.6,1.51,4.35
PROD00123,Snacks,Cookies,FreshNest,1L,123,101.62,12.54,1,0,4.9,7.96,8.66
PROD00124,Instant Meals,Noodles,DailyDrop,1L,132,113.46,12.89,0,0,4.1,8.57,1.73
PROD00125,Frozen Foods,Ice Cream,ChillSip,1L,575,488.79,17.53,0,1,4.7,3.96,7.42
PROD00126,Frozen Foods,Frozen Pizza,UrbanCrunch,1kg,62,47.5,9.82,1,1,4.0,6.61,4.59
PROD00127,Frozen Foods,Ice Cream,PureHarvest,250g,73,68.94,19.41,0,1,4.3,1.77,1.23
PROD00128,Dairy,Butter,QuickChef,500g,702,601.2,34.48,0,0,3.6,6.02,3.84
PROD00129,Beverages,Soft Drink,ChillSip,500g,570,448.19,8.34,1,0,4.5,1.8,4.33
PROD00130,Snacks,Cookies,NutriMile,500g,717,542.49,18.45,0,1,4.8,5.67,7.49
PROD00131,Beverages,Juice,UrbanCrunch,1L,684,523.83,25.69,0,1,3.0,6.88,2.07
PROD00132,Frozen Foods,Fries,SpiceRoute,1L,467,367.4,34.93,0,0,4.1,5.22,6.89
PROD00133,Instant Meals,Ready Meals,SpiceRoute,1L,107,100.86,22.5,0,1,4.0,2.45,7.48
PROD00134,Dairy,Paneer,UrbanCrunch,250g,357,302.48,30.22,1,0,3.6,4.5,1.92
PROD00135,Dairy,Paneer,HomeEase,1L,548,436.15,22.77,1,1,3.7,3.25,6.52
PROD00136,Personal Care,Soap,HomeEase,750ml,280,265.22,5.49,0,1,3.7,2.43,4.92
PROD00137,Frozen Foods,Fries,DailyDrop,250g,44,38.52,13.54,0,1,4.1,1.01,3.6
PROD00138,Personal Care,Soap,FreshNest,1kg,423,408.0,22.02,1,0,4.5,5.23,5.51
PROD00139,Personal Care,Soap,NutriMile,1L,726,650.69,31.74,1,1,4.4,8.3,2.17
PROD00140,Snacks,Namkeen,FreshNest,750ml,119,92.15,14.36,0,0,3.8,1.44,4.3
PROD00141,Snacks,Protein Snacks,PureHarvest,750ml,199,170.47,15.29,1,1,4.1,6.11,1.99
PROD00142,Snacks,Chips,HomeEase,1kg,212,163.91,27.95,1,0,3.4,4.53,2.83
PROD00143,Instant Meals,Pasta,NutriMile,1L,366,340.99,9.03,1,0,3.6,9.07,4.98
PROD00144,Personal Care,Soap,FitBite,750ml,119,106.99,25.19,0,1,5.0,5.25,9.04
PROD00145,Dairy,Milk,DailyDrop,750ml,104,96.28,28.27,1,0,4.1,4.5,4.5
PROD00146,Frozen Foods,Ice Cream,ChillSip,250g,362,337.76,30.78,1,0,3.4,2.76,3.52
PROD00147,Frozen Foods,Frozen Pizza,UrbanCrunch,1L,572,450.5,11.92,0,0,4.0,3.72,8.09
PROD00148,Personal Care,Face Wash,NutriMile,1L,735,712.17,26.99,0,1,4.0,8.98,3.12
PROD00149,Dairy,Paneer,DailyDrop,1L,106,80.4,26.97,0,0,4.4,3.08,5.72
PROD00150,Health & Wellness,Granola,QuickChef,1L,275,234.71,24.46,0,1,5.0,7.88,3.49
PROD00151,Frozen Foods,Ice Cream,NutriMile,750ml,500,473.39,6.43,0,1,4.7,7.94,2.09
PROD00152,Instant Meals,Noodles,FitBite,250g,69,61.91,26.55,1,1,3.3,7.8,6.76
PROD00153,Health & Wellness,Protein Powder,DailyDrop,1kg,485,382.14,6.93,0,0,4.2,3.78,5.59
PROD00154,Frozen Foods,Ice Cream,NutriMile,500g,262,248.58,19.47,1,0,4.8,9.21,9.54
PROD00155,Dairy,Milk,NutriMile,1kg,49,47.36,18.53,0,0,4.5,7.01,5.27
PROD00156,Snacks,Chips,DailyDrop,500g,665,556.8,11.59,1,1,4.9,6.12,8.03
PROD00157,Frozen Foods,Frozen Pizza,PureHarvest,250g,453,364.15,26.5,1,0,4.3,8.79,1.87
PROD00158,Snacks,Protein Snacks,FreshNest,750ml,534,521.18,26.67,1,1,3.2,5.39,7.54
PROD00159,Health & Wellness,Oats,FitBite,500g,523,410.95,21.36,0,0,4.5,9.43,6.88
PROD00160,Frozen Foods,Fries,QuickChef,1kg,112,109.09,18.64,1,0,4.4,3.31,4.74
PROD00161,Personal Care,Soap,SpiceRoute,500g,558,541.71,27.42,1,0,4.9,9.94,6.3
PROD00162,Dairy,Curd,UrbanCrunch,750ml,725,597.73,22.64,0,0,3.9,1.74,9.22
PROD00163,Frozen Foods,Fries,UrbanCrunch,250g,408,315.87,23.16,1,1,3.6,8.89,1.67
PROD00164,Frozen Foods,Ice Cream,SpiceRoute,1kg,276,220.88,19.8,1,1,4.5,3.59,8.59
PROD00165,Dairy,Paneer,DailyDrop,1kg,462,363.67,20.9,1,0,4.8,4.2,5.84
PROD00166,Instant Meals,Pasta,DailyDrop,250g,401,301.77,27.81,0,1,4.8,6.38,8.83
PROD00167,Health & Wellness,Granola,QuickChef,250g,540,526.44,33.31,1,0,3.7,1.22,4.31
PROD00168,Snacks,Chips,QuickChef,750ml,300,246.13,6.54,1,0,4.6,9.12,5.19
PROD00169,Dairy,Curd,PureHarvest,1L,679,655.94,10.76,0,0,4.0,7.04,7.77
PROD00170,Snacks,Protein Snacks,UrbanCrunch,500g,775,698.59,22.32,0,1,4.8,9.49,2.15
PROD00171,Health & Wellness,Granola,ChillSip,1kg,351,309.67,10.34,0,0,5.0,9.35,9.83
PROD00172,Instant Meals,Ready Meals,PureHarvest,500g,76,62.51,32.45,1,0,3.2,9.74,9.2
PROD00173,Health & Wellness,Oats,NutriMile,500g,270,235.17,23.26,1,0,4.8,8.48,5.54
PROD00174,Beverages,Cold Coffee,HomeEase,500g,192,156.43,27.04,0,0,3.6,8.3,6.68
PROD00175,Snacks,Cookies,SpiceRoute,250g,217,183.28,16.45,1,1,3.6,7.46,7.68
PROD00176,Beverages,Cold Coffee,DailyDrop,1L,653,510.26,7.93,1,0,3.9,3.02,9.38
PROD00177,Personal Care,Soap,PureHarvest,1kg,583,494.8,32.71,0,1,3.6,4.01,8.71
PROD00178,Personal Care,Soap,HomeEase,250g,166,152.35,11.12,1,1,3.8,3.13,9.52
PROD00179,Instant Meals,Pasta,HomeEase,1L,673,590.31,16.36,0,1,3.9,8.79,2.23
PROD00180,Dairy,Paneer,SpiceRoute,250g,601,475.62,19.39,0,0,4.3,2.05,9.95
PROD00181,Beverages,Juice,ChillSip,1L,619,584.98,27.72,0,0,4.7,9.6,6.97
PROD00182,Snacks,Protein Snacks,HomeEase,500g,200,173.48,11.32,1,0,4.1,5.28,9.51
PROD00183,Snacks,Protein Snacks,DailyDrop,1L,757,591.92,14.32,1,0,5.0,3.13,3.98
PROD00184,Personal Care,Shampoo,HomeEase,750ml,72,55.24,34.25,0,1,4.4,9.74,8.66
PROD00185,Frozen Foods,Frozen Pizza,HomeEase,250g,678,534.71,13.36,0,0,4.0,5.24,1.04
PROD00186,Frozen Foods,Frozen Pizza,DailyDrop,500g,140,115.07,13.22,0,1,5.0,2.36,4.19
PROD00187,Snacks,Namkeen,PureHarvest,250g,224,201.74,24.57,1,0,4.1,1.73,8.22
PROD00188,Personal Care,Soap,SpiceRoute,500g,715,560.89,8.33,1,0,3.4,4.99,5.38
PROD00189,Snacks,Cookies,FitBite,250g,201,170.02,20.88,0,0,4.5,6.98,8.37
PROD00190,Frozen Foods,Fries,NutriMile,750ml,179,156.21,24.17,1,0,4.6,7.06,6.88
PROD00191,Snacks,Protein Snacks,ChillSip,750ml,632,616.38,34.38,1,0,3.7,6.04,6.09
PROD00192,Frozen Foods,Fries,HomeEase,750ml,728,644.52,11.73,1,0,4.9,4.35,6.07
PROD00193,Instant Meals,Noodles,PureHarvest,1L,459,395.66,29.73,1,0,3.2,5.6,8.98
PROD00194,Health & Wellness,Protein Powder,QuickChef,750ml,688,633.49,34.15,0,1,4.3,7.38,4.34
PROD00195,Health & Wellness,Granola,QuickChef,500g,92,82.47,22.6,1,0,3.8,3.93,6.75
PROD00196,Instant Meals,Pasta,SpiceRoute,1kg,270,207.4,19.26,1,1,4.4,5.65,5.73
PROD00197,Snacks,Namkeen,ChillSip,1kg,559,450.49,11.15,0,1,4.9,5.57,5.91
PROD00198,Personal Care,Shampoo,HomeEase,750ml,392,366.08,18.18,0,0,4.0,1.56,6.15
PROD00199,Snacks,Cookies,QuickChef,500g,237,226.53,5.33,0,0,4.9,5.52,8.36
PROD00200,Frozen Foods,Fries,FitBite,250g,762,573.73,11.13,1,0,3.5,1.12,2.61
PROD00201,Frozen Foods,Ice Cream,UrbanCrunch,750ml,708,649.34,13.4,1,0,4.1,1.17,8.08
PROD00202,Frozen Foods,Frozen Pizza,PureHarvest,750ml,412,349.94,29.38,1,1,3.4,3.81,8.67
PROD00203,Instant Meals,Pasta,NutriMile,750ml,494,483.96,33.03,0,0,4.9,6.86,7.47
PROD00204,Instant Meals,Ready Meals,DailyDrop,1kg,787,628.28,31.77,0,0,3.5,2.78,7.15
PROD00205,Personal Care,Soap,NutriMile,250g,676,597.83,18.64,1,0,4.3,6.77,9.49
PROD00206,Frozen Foods,Ice Cream,QuickChef,500g,602,558.65,28.28,1,0,4.7,7.68,7.39
PROD00207,Instant Meals,Ready Meals,SpiceRoute,1kg,130,103.25,31.73,1,1,3.7,5.97,6.54
PROD00208,Instant Meals,Ready Meals,FitBite,500g,84,79.46,12.01,0,0,3.6,8.01,8.6
PROD00209,Health & Wellness,Granola,FitBite,250g,723,582.66,31.85,1,0,4.4,5.48,5.79
PROD00210,Personal Care,Face Wash,QuickChef,1kg,114,87.08,22.86,1,1,3.1,5.93,8.36
PROD00211,Health & Wellness,Protein Powder,NutriMile,1kg,293,266.61,23.73,1,0,3.4,5.27,1.69
PROD00212,Beverages,Juice,NutriMile,1kg,473,444.51,30.76,1,1,3.2,1.51,4.47
PROD00213,Frozen Foods,Fries,SpiceRoute,1kg,489,473.74,18.82,1,0,3.2,2.59,5.57
PROD00214,Health & Wellness,Protein Powder,ChillSip,250g,256,217.68,34.36,0,1,4.1,7.66,8.57
PROD00215,Snacks,Protein Snacks,FreshNest,1kg,619,501.92,13.3,1,0,4.7,5.19,7.88
PROD00216,Frozen Foods,Fries,ChillSip,250g,731,665.1,27.96,1,0,4.6,1.44,6.0
PROD00217,Beverages,Energy Drink,ChillSip,1L,184,145.99,26.87,1,0,4.0,7.72,3.16
PROD00218,Instant Meals,Pasta,ChillSip,750ml,662,518.0,29.28,0,0,3.8,7.96,5.12
PROD00219,Dairy,Milk,FreshNest,250g,102,96.18,27.03,1,1,3.5,8.82,7.22
PROD00220,Health & Wellness,Oats,UrbanCrunch,500g,547,435.46,34.0,1,0,3.3,7.24,8.5
PROD00221,Personal Care,Shampoo,HomeEase,250g,63,49.38,18.82,1,1,4.2,2.26,2.49
PROD00222,Instant Meals,Noodles,FreshNest,250g,266,252.24,31.25,0,0,3.2,5.61,4.53
PROD00223,Snacks,Namkeen,ChillSip,250g,772,751.49,34.06,0,1,4.8,5.09,4.05
PROD00224,Instant Meals,Noodles,HomeEase,250g,400,339.73,33.99,0,0,4.9,8.55,5.02
PROD00225,Snacks,Namkeen,ChillSip,1kg,64,55.09,19.63,0,0,3.0,2.52,1.53
PROD00226,Beverages,Energy Drink,FreshNest,1L,485,398.56,12.78,0,0,3.9,6.2,7.95
PROD00227,Personal Care,Shampoo,UrbanCrunch,500g,582,467.46,19.0,0,0,3.3,7.09,7.32
PROD00228,Snacks,Chips,QuickChef,1kg,227,221.82,28.62,0,0,3.9,1.28,8.69
PROD00229,Personal Care,Shampoo,FreshNest,750ml,97,92.67,21.01,0,0,4.7,7.65,5.08
PROD00230,Instant Meals,Noodles,DailyDrop,750ml,292,225.45,15.83,1,1,4.7,5.38,3.31
PROD00231,Frozen Foods,Ice Cream,QuickChef,750ml,679,531.53,19.71,0,0,4.9,6.49,4.27
PROD00232,Snacks,Namkeen,QuickChef,750ml,631,595.68,16.84,0,1,4.5,1.45,9.58
PROD00233,Snacks,Protein Snacks,SpiceRoute,250g,146,110.03,27.58,1,0,3.7,3.8,3.32
PROD00234,Instant Meals,Ready Meals,HomeEase,500g,515,471.16,31.79,0,1,3.5,4.28,6.94
PROD00235,Beverages,Juice,QuickChef,500g,82,74.05,24.26,0,1,4.6,5.71,6.77
PROD00236,Snacks,Namkeen,PureHarvest,750ml,341,316.82,16.68,1,0,3.6,1.34,2.06
PROD00237,Snacks,Chips,DailyDrop,250g,585,521.58,15.21,1,1,3.8,5.62,4.92
PROD00238,Snacks,Cookies,NutriMile,1L,646,484.93,21.44,1,0,3.4,5.37,3.54
PROD00239,Dairy,Butter,UrbanCrunch,1L,197,180.77,10.11,0,0,3.9,7.75,4.09
PROD00240,Personal Care,Face Wash,NutriMile,1L,694,590.29,25.36,1,0,3.5,6.64,4.68
PROD00241,Personal Care,Face Wash,PureHarvest,500g,261,215.24,26.51,0,0,3.6,5.65,2.29
PROD00242,Beverages,Soft Drink,NutriMile,750ml,249,233.35,34.56,1,1,3.3,2.98,7.09
PROD00243,Dairy,Milk,FitBite,750ml,583,455.04,11.87,0,1,4.4,2.88,3.43
PROD00244,Health & Wellness,Oats,QuickChef,1L,176,148.41,27.78,1,1,3.9,7.92,8.17
PROD00245,Frozen Foods,Ice Cream,HomeEase,1L,179,155.56,18.06,0,0,4.9,3.7,8.24
PROD00246,Health & Wellness,Oats,SpiceRoute,750ml,721,582.75,27.38,1,1,4.4,4.49,1.75
PROD00247,Beverages,Juice,ChillSip,1L,733,582.02,7.19,1,0,5.0,2.95,3.69
PROD00248,Health & Wellness,Oats,SpiceRoute,500g,760,663.5,13.03,0,1,3.3,6.96,1.16
PROD00249,Instant Meals,Noodles,PureHarvest,500g,509,421.92,18.31,0,0,4.7,5.26,1.78
PROD00250,Dairy,Butter,UrbanCrunch,1L,667,591.01,19.97,0,0,4.0,4.38,7.85
PROD00251,Personal Care,Shampoo,FreshNest,750ml,165,138.37,6.62,0,1,3.8,9.1,3.67
PROD00252,Dairy,Paneer,PureHarvest,1kg,156,150.7,5.12,0,0,3.1,4.84,1.96
PROD00253,Frozen Foods,Frozen Pizza,PureHarvest,1kg,109,94.3,14.54,1,0,4.2,4.33,3.07
PROD00254,Frozen Foods,Fries,UrbanCrunch,750ml,268,222.9,7.02,0,1,3.2,4.94,7.5
PROD00255,Snacks,Protein Snacks,PureHarvest,500g,72,65.02,13.74,1,0,4.6,3.69,3.94
PROD00256,Instant Meals,Ready Meals,FreshNest,1L,309,275.57,7.83,1,1,4.4,1.58,8.01
PROD00257,Dairy,Curd,QuickChef,1kg,77,71.66,24.14,1,0,4.3,9.54,7.38
PROD00258,Personal Care,Face Wash,HomeEase,750ml,449,409.18,13.56,0,1,4.7,1.68,5.5
